,Type,NATO designation,Pennant No.,Name (English),Name (Han 汉),Commissioned,Displacement[a],Fleet,Status,Displacement,Name (Han 中文),VLS Cells,Classification
100,Type 052D destroyer,Luyang III class,123.0,Huainan,,2021,,North Sea Fleet,Active,"7,500 t",淮南,64.0,
101,Type 052D destroyer,Luyang III class,162.0,Nanning,,2021,,South Sea Fleet,Active,"7,500 t",南宁,64.0,
102,Type 052D destroyer,Luyang III class,124.0,Kaifeng,,2021,,North Sea Fleet,Active,"7,500 t",开封,64.0,
103,Type 052D destroyer,Luyang III class,164.0,Guilin,,2021,,South Sea Fleet,Active,"7,500 t",桂林,64.0,
104,Type 052D destroyer,Luyang III class,165.0,Zhanjiang,,2021,,South Sea Fleet,Active,"7,500 t",湛江,64.0,
105,Type 052D destroyer,Luyang III class,133.0,Baotou,,2021,,East Sea Fleet,Active,"7,500 t",包头,64.0,
106,Type 052D destroyer,Luyang III class,163.0,Jiaozuo,,2022,,South Sea Fleet,Active,"7,500 t",焦作,64.0,
107,Type 052D destroyer,Luyang III class,134.0,Shaoxing,,2022,,East Sea Fleet,Active,"7,500 t",绍兴,64.0,
108,Type 052D destroyer,Luyang III class,157.0,Lishui,,2022,,East Sea Fleet,Active,"7,500 t",丽水,64.0,
109,Type 052D destroyer,Luyang III class,,,,2024 est.,,,Fitting out,"7,500 t",,64.0,
110,Type 052D destroyer,Luyang III class,,,,2024 est.,,,Fitting out,"7,500 t",,64.0,
111,Type 052D destroyer,Luyang III class,,,,2024 est.,,,Fitting out,"7,500 t",,64.0,
112,Type 052D destroyer,Luyang III class,,,,2024 est.,,,Fitting out,"7,500 t",,64.0,
113,Type 052C destroyer,Luyang II class,170.0,Lanzhou,,2004,,South Sea Fleet,Active,"7,000 t",兰州,48.0,
114,Type 052C destroyer,Luyang II class,171.0,Haikou,,2005,,South Sea Fleet,Active,"7,000 t",海口,48.0,
115,Type 052C destroyer,Luyang II class,150.0,Changchun,,2013,,East Sea Fleet,Active,"7,000 t",长春,48.0,
116,Type 052C destroyer,Luyang II class,151.0,Zhengzhou,,2013,,East Sea Fleet,Active,"7,000 t",郑州,48.0,
117,Type 052C destroyer,Luyang II class,152.0,Jinan,,2014,,East Sea Fleet,Active,"7,000 t",济南,48.0,
118,Type 052C destroyer,Luyang II class,153.0,Xi'an,,2015,,East Sea Fleet,Active,"7,000 t",西安,48.0,
119,Type 051C destroyer,Luzhou class,115.0,Shenyang,,2006,,North Sea Fleet,Active,"7,100 t",沈阳,48.0,
120,Type 051C destroyer,Luzhou class,116.0,Shijiazhuang,,2007,,North Sea Fleet,Active,"7,100 t",石家庄,48.0,
121,Type 052B destroyer,Luyang I class,168.0,Guangzhou,,2004,,South Sea Fleet,Active,"7,112 t",广州,32.0,
122,Type 052B destroyer,Luyang I class,169.0,Wuhan,,2004,,South Sea Fleet,Active,"7,112 t",武汉,32.0,
123,Type 051B destroyer,Luhai class,167.0,Shenzhen,,1999,,South Sea Fleet,Active,"6,100 t",深圳,32.0,
124,Type 052 destroyer,Luhu class,112.0,Harbin,,1994,,North Sea Fleet,Active,"4,800 t",哈尔滨,,
125,Type 052 destroyer,Luhu class,113.0,Qingdao,,1996,,North Sea Fleet,Active,"4,800 t",青岛,,
126,Type 956E class,Sovremenny class,136.0,Hangzhou,,1999,,East Sea Fleet,Active,"7,900 t",杭州,8.0,
127,Type 956E class,Sovremenny class,137.0,Fuzhou,,2000,,East Sea Fleet,Active,"7,900 t",福州,8.0,
128,Type 956EM class,Sovremenny class,138.0,Taizhou,,2006,,East Sea Fleet,Active,"7,900 t",泰州,8.0,
129,Type 956EM class,Sovremenny class,139.0,Ningbo,,2006,,East Sea Fleet,Active,"7,900 t",宁波,8.0,
130,Type 054A frigate,Jiangkai II class,530,Xuzhou,,2008,,East Sea Fleet,Active,"4,200 t",徐州,,
131,Type 054A frigate,Jiangkai II class,529,Zhoushan,,2008,,East Sea Fleet,Active,"4,200 t",舟山,,
132,Type 054A frigate,Jiangkai II class,570,Huangshan,,2008,,South Sea Fleet,Active,"4,200 t",黄山,,
133,Type 054A frigate,Jiangkai II class,568,Hengyang,,2008,,South Sea Fleet,Active,"4,200 t",衡阳,,
134,Type 054A frigate,Jiangkai II class,571,Yuncheng,,2010,,South Sea Fleet,Active,"4,200 t",运城,,
135,Type 054A frigate,Jiangkai II class,569,Yulin,,2010,,South Sea Fleet,Active,"4,200 t",玉林,,
136,Type 054A frigate,Jiangkai II class,548,Yiyang,,2010,,East Sea Fleet,Active,"4,200 t",益阳,,
137,Type 054A frigate,Jiangkai II class,549,Changzhou,,2011,,East Sea Fleet,Active,"4,200 t",常州,,
138,Type 054A frigate,Jiangkai II class,538,Yantai,,2011,,North Sea Fleet,Active,"4,200 t",烟台,,
139,Type 054A frigate,Jiangkai II class,546,Yancheng,,2012,,North Sea Fleet,Active,"4,200 t",盐城,,
140,Type 054A frigate,Jiangkai II class,572,Hengshui,,2012,,South Sea Fleet,Active,"4,200 t",衡水,,
141,Type 054A frigate,Jiangkai II class,573,Liuzhou,,2012,,South Sea Fleet,Active,"4,200 t",柳州,,
142,Type 054A frigate,Jiangkai II class,547,Linyi,,2012,,North Sea Fleet,Active,"4,200 t",临沂,,
143,Type 054A frigate,Jiangkai II class,575,Yueyang,,2013,,South Sea Fleet,Active,"4,200 t",岳阳,,
144,Type 054A frigate,Jiangkai II class,550,Weifang,,2013,,North Sea Fleet,Active,"4,200 t",潍坊,,
145,Type 054A frigate,Jiangkai II class,574,Sanya,,2013,,South Sea Fleet,Active,"4,200 t",三亚,,
146,Type 054A frigate,Jiangkai II class,577,Huanggang,,2015,,East Sea Fleet,Active,"4,200 t",黄冈,,
147,Type 054A frigate,Jiangkai II class,576,Daqing,,2015,,North Sea Fleet,Active,"4,200 t",大庆,,
148,Type 054A frigate,Jiangkai II class,578,Yangzhou,,2015,,East Sea Fleet,Active,"4,200 t",扬州,,
149,Type 054A frigate,Jiangkai II class,579,Handan,,2015,,North Sea Fleet,Active,"4,200 t",邯郸,,
150,Type 054A frigate,Jiangkai II class,532,Jingzhou,,2016,,East Sea Fleet,Active,"4,200 t",荆州,,
151,Type 054A frigate,Jiangkai II class,531,Xiangtan,,2016,,East Sea Fleet,Active,"4,200 t",湘潭,,
152,Type 054A frigate,Jiangkai II class,515,Binzhou,,2016,,East Sea Fleet,Active,"4,200 t",滨州,,
153,Type 054A frigate,Jiangkai II class,536,Xuchang,,2017,,South Sea Fleet,Active,"4,200 t",许昌,,
154,Type 054A frigate,Jiangkai II class,539,Wuhu,,2017,,North Sea Fleet,Active,"4,200 t",芜湖,,
155,Type 054A frigate,Jiangkai II class,598,Rizhao,,2018,,North Sea Fleet,Active,"4,200 t",日照,,
156,Type 054A frigate,Jiangkai II class,599,Anyang,,2018,,East Sea Fleet,Active,"4,200 t",安阳,,
157,Type 054A frigate,Jiangkai II class,500,Xianning,,2018,,South Sea Fleet,Active,"4,200 t",咸宁,,
158,Type 054A frigate,Jiangkai II class,601,Nantong,,2019,,East Sea Fleet,Active,"4,200 t",南通,,
159,Type 054A frigate,Jiangkai II class,542,Zaozhuang,,2019,,North Sea Fleet,Active,"4,200 t",枣庄,,
160,Type 054A frigate,Jiangkai II class,522,Zizang,,2022,,East Sea Fleet,Active,"4,200 t",资阳,,
161,Type 054A frigate,Jiangkai II class,534,Hebi,,2022,,East Sea Fleet,Active,"4,200 t",鹤壁,,
162,Type 054A frigate,Jiangkai II class,551,Bayannao'er,,2022,,South Sea Fleet,Active,"4,200 t",巴彦淖尔市,,
163,Type 054A frigate,Jiangkai II class,540,Xichang,,2023,,South Sea Fleet,Active,"4,200 t",西昌市,,
164,Type 054A frigate,Jiangkai II class,537,Yixing,,2023,,East Sea Fleet,Active,"4,200 t",宜兴,,
165,Type 054 frigate,Jiangkai I class,525,Ma'anshan,,2005,,East Sea Fleet,Active,"3,900 t",马鞍山,,
166,Type 054 frigate,Jiangkai I class,526,Wenzhou,,2005,,East Sea Fleet,Active,"3,900 t",温州,,
167,Type 053H3 light frigate,Jiangwei II class,564,Yichang,,1999,,North Sea Fleet,Active,"2,400 t",宜昌,,
168,Type 053H3 light frigate,Jiangwei II class,565,Huludao,,2000,,North Sea Fleet,Active,"2,400 t",葫芦岛,,
169,Type 053H3 light frigate,Jiangwei II class,524,Sanming,,2000,,East Sea Fleet,Active,"2,400 t",三明,,
170,Type 053H3 light frigate,Jiangwei II class,567,Xiangyang,,2002,,East Sea Fleet,Active,"2,400 t",襄阳,,
171,Type 053H3 light frigate,Jiangwei II class,566,Huaihua,,2002,,East Sea Fleet,Active,"2,400 t",怀化,,
172,Type 053H3 light frigate,Jiangwei II class,527,Luoyang,,2005,,South Sea Fleet,Active,"2,400 t",洛阳,,
173,Type 053H3 light frigate,Jiangwei II class,528,Mianyang,,2005,,South Sea Fleet,Active,"2,400 t",绵阳,,
174,Type 053H1G light frigate,Jianghu V class,558,Beihai,,1993,,East Sea Fleet,Active,"1,729 t",北海,,
175,Type 053H1G light frigate,Jianghu V class,559,Foshan,,1994,,East Sea Fleet,Active,"1,729 t",佛山,,
176,Type 053H1 light frigate,Jianghu II class,553,Shaoguan,,1985,,South Sea Fleet,Active,"1,729 t",韶关,,
177,Type 056 corvette,Jiangdao class |,580,Datong,,2013,,North Sea Fleet,Active,"1,500 t",大同,,
178,Type 056 corvette,Jiangdao class |,581,Yingkou,,2013,,North Sea Fleet,Active,"1,500 t",营口,,
179,Type 056 corvette,Jiangdao class |,582,Bengbu,,2013,,East Sea Fleet,Active,"1,500 t",蚌埠,,
180,Type 056 corvette,Jiangdao class |,583,Shangrao,,2013,,East Sea Fleet,Active,"1,500 t",上饶,,
181,Type 056 corvette,Jiangdao class |,596,Huizhou,,2013,,Hong Kong,Active,"1,500 t",惠州,,
182,Type 056 corvette,Jiangdao class |,597,Qinzhou,,2013,,Hong Kong,Active,"1,500 t",钦州,,
183,Type 056 corvette,Jiangdao class |,584,Meizhou,,2013,,South Sea Fleet,Active,"1,500 t",梅州,,
184,Type 056 corvette,Jiangdao class |,585,Baise,,2013,,South Sea Fleet,Active,"1,500 t",百色,,
185,Type 056 corvette,Jiangdao class |,586,Ji'an,,2014,,East Sea Fleet,Active,"1,500 t",吉安,,
186,Type 056 corvette,Jiangdao class |,587,Jieyang,,2014,,East Sea Fleet,Active,"1,500 t",揭阳,,
187,Type 056 corvette,Jiangdao class |,588,Quanzhou,,2014,,East Sea Fleet,Active,"1,500 t",泉州,,
188,Type 056 corvette,Jiangdao class |,589,Qingyuan,,2014,,South Sea Fleet,Active,"1,500 t",清远,,
189,Type 056 corvette,Jiangdao class |,590,Weihai,,2014,,North Sea Fleet,Active,"1,500 t",威海,,
190,Type 056 corvette,Jiangdao class |,591,Fushun,,2014,,North Sea Fleet,Active,"1,500 t",抚顺,,
191,Type 056 corvette,Jiangdao class |,592,Luzhou,,2014,,South Sea Fleet,Active,"1,500 t",泸州,,
192,Type 056 corvette,Jiangdao class |,595,Chaozhou,,2014,,East Sea Fleet,Active,"1,500 t",潮州,,
193,Type 056 corvette,Jiangdao class |,503,Suzhou,,2015,,East Sea Fleet,Active,"1,500 t",宿州,,
194,Type 056 corvette,Jiangdao class |,501,Xinyang,,2015,,North Sea Fleet,Active,"1,500 t",信阳,,
195,Type 056 corvette,Jiangdao class |,509,Huaian,,2016,,East Sea Fleet,Active,"1,500 t",淮安,,
196,Type 056 corvette,Jiangdao class |,510,Ningde,,2016,,East Sea Fleet,Active,"1,500 t",宁德,,
197,Type 056 corvette,Jiangdao class |,511,Baoding,,2016,,East Sea Fleet,Active,"1,500 t",保定,,
198,Type 056 corvette,Jiangdao class |,512,Heze,,2016,,East Sea Fleet,Active,"1,500 t",菏泽,,
199,Type 056A corvette,Jiangdao class |,502,Huangshi,,2015,,North Sea Fleet,Active,"1,500 t",黄石,,
200,Type 056A corvette,Jiangdao class |,593,Sanmenxia,,2014,,East Sea Fleet,Active,"1,500 t",三门峡,,
201,Type 056A corvette,Jiangdao class |,594,Zhuzou,,2014,,East Sea Fleet,Active,"1,500 t",株洲,,
202,Type 056A corvette,Jiangdao class |,504,Suqian,,2015,,South Sea Fleet,Active,"1,500 t",宿迁,,
203,Type 056A corvette,Jiangdao class |,505,Qinhuangdao,,2015,,North Sea Fleet,Active,"1,500 t",秦皇岛,,
204,Type 056A corvette,Jiangdao class |,506,Jingmen,,2016,,South Sea Fleet,Active,"1,500 t",荆门,,
205,Type 056A corvette,Jiangdao class |,507,Tongren,,2016,,East Sea Fleet,Active,"1,500 t",铜仁,,
206,Type 056A corvette,Jiangdao class |,508,Qujing,,2016,,South Sea Fleet,Active,"1,500 t",曲靖,,
207,Type 056A corvette,Jiangdao class |,513,Ezhou,,2017,,East Sea Fleet,Active,"1,500 t",鄂州,,
208,Type 056A corvette,Jiangdao class |,514,Liupanshui,,2017,,South Sea Fleet,Active,"1,500 t",六盘水,,
209,Type 056A corvette,Jiangdao class |,520,Hanzhong,,2017,,South Sea Fleet,Active,"1,500 t",汉中,,
210,Type 056A corvette,Jiangdao class |,518,Yiwu,,2017,,East Sea Fleet,Active,"1,500 t",义乌,,
211,Type 056A corvette,Jiangdao class |,535,Xuancheng,,2017,,East Sea Fleet,Active,"1,500 t",宣城,,
212,Type 056A corvette,Jiangdao class |,556,Yichun,,2017,,East Sea Fleet,Active,"1,500 t",宜春,,
213,Type 056A corvette,Jiangdao class |,552,Guangyuan,,2017,,South Sea Fleet,Active,"1,500 t",广元,,
214,Type 056A corvette,Jiangdao class |,551,Suining,,2017,,South Sea Fleet,Active,"1,500 t",遂宁,,
215,Type 056A corvette,Jiangdao class |,540,Wuhai,,2018,,North Sea Fleet,Active,"1,500 t",乌海,,
216,Type 056A corvette,Jiangdao class |,554,Deyang,,2018,,East Sea Fleet,Active,"1,500 t",德阳,,
217,Type 056A corvette,Jiangdao class |,541,Zhangye,,2018,,North Sea Fleet,Active,"1,500 t",张掖,,
218,Type 056A corvette,Jiangdao class |,557,Nanchong,,2018,,South Sea Fleet,Active,"1,500 t",南充,,
219,Type 056A corvette,Jiangdao class |,625,Bazhong,,2019,,South Sea Fleet,Active,"1,500 t",巴中,,
220,Type 056A corvette,Jiangdao class |,610,Shuozhou,,2019,,East Sea Fleet,Active,"1,500 t",朔州,,
221,Type 056A corvette,Jiangdao class |,626,Wuzhou,,2019,,South Sea Fleet,Active,"1,500 t",梧州,,
222,Type 056A corvette,Jiangdao class |,623,Wenshan,,2019,,South Sea Fleet,Active,"1,500 t",文山,,
223,Type 056A corvette,Jiangdao class |,603,Dingzhou,,2019,,North Sea Fleet,Active,"1,500 t",定州,,
224,Type 056A corvette,Jiangdao class |,621,Panzhihua,,2020,,South Sea Fleet,Active,"1,500 t",攀枝花,,
225,Type 056A corvette,Jiangdao class |,620,Ganzhou,,2020,,South Sea Fleet,Active,"1,500 t",赣州,,
226,Type 056A corvette,Jiangdao class |,611,Luan,,2020,,East Sea Fleet,Active,"1,500 t",六安,,
227,Type 056A corvette,Jiangdao class |,608,Liaocheng,,2020,,East Sea Fleet,Active,"1,500 t",聊城,,
